s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
0.000000,85.646667,28.402500,26359.877613,13572.101200,5143.089770,0.011459,1105.304419
100.000000,85.646613,28.401613,26354.646902,13474.086516,5143.069770,0.011459,1099.534276
200.000000,85.645936,28.400936,26288.295391,13399.270228,5143.049770,0.011459,1088.749798
300.000000,85.645833,28.400067,26278.183102,13303.108346,5143.029770,0.011459,1074.613078
400.000000,85.645833,28.399162,26278.183102,13203.108346,5143.009770,0.011459,1059.643211
500.000000,85.645833,28.398257,26278.183102,13103.108346,5142.989770,0.011459,1046.888085
600.000000,85.645833,28.397353,26278.183102,13003.108346,5142.969770,0.011459,1039.453364
700.000000,85.645833,28.396448,26278.183102,12903.108346,5142.949770,0.011459,1040.257858
800.000000,85.645616,28.395616,26256.911126,12811.182124,5142.929770,0.011459,1052.136284
900.000000,85.645000,28.394919,26196.488592,12734.115493,5142.909770,0.011459,1077.873868
1000.000000,85.645000,28.394015,26196.488592,12634.115493,5142.889770,0.011459,1119.774795
1100.000000,85.645000,28.393110,26196.488592,12534.115493,5142.869770,0.011459,1178.635840
1200.000000,85.645000,28.392205,26196.488592,12434.115493,5142.849770,0.188640,1252.325078
1300.000000,85.645000,28.391301,26196.488592,12334.115493,5142.211291,1.145040,1334.827433
1400.000000,85.644673,28.390506,26164.406061,12246.292415,5138.852293,2.058381,1416.593107
1500.000000,85.643996,28.389829,26098.054550,12171.476127,5135.023093,2.036734,1486.627561
1600.000000,85.643319,28.389152,26031.703038,12096.659839,5131.739755,2.056422,1500.000000
1700.000000,85.642642,28.388476,25965.351527,12021.843551,5127.841742,2.396300,1500.000000
1800.000000,85.641965,28.387799,25899.000016,11947.027263,5123.370209,2.692717,1500.000000
1900.000000,85.641667,28.386995,25869.710549,11858.144079,5118.435459,3.079301,1500.000000
2000.000000,85.641667,28.386090,25869.710549,11758.144079,5112.611061,3.540766,1500.000000
2100.000000,85.641182,28.385349,25822.187083,11676.181607,5106.060098,3.987839,1455.498374
2200.000000,85.640505,28.384672,25755.835572,11601.365319,5098.668356,4.382487,1403.945486
2300.000000,85.639828,28.383995,25689.484061,11526.549031,5090.732428,4.696828,1349.200149
2400.000000,85.639151,28.383318,25623.132549,11451.732743,5082.236511,4.991555,1294.845033
2500.000000,85.638475,28.382641,25556.781038,11376.916455,5073.264401,5.379225,1244.920142
2600.000000,85.637798,28.381964,25490.429527,11302.100167,5063.404108,5.859037,1202.786467
2700.000000,85.637121,28.381288,25424.078015,11227.283879,5052.740916,6.244765,1169.720269
2800.000000,85.636331,28.380833,25346.662575,11177.067867,5041.519036,6.560050,1144.069938
2900.000000,85.635487,28.380487,25263.886025,11138.772104,5029.741432,6.746243,1121.580326
3000.000000,85.634810,28.379810,25197.534513,11063.955816,5017.860776,6.732680,1096.690119
3100.000000,85.634133,28.379133,25131.183002,10989.139527,5006.131173,6.609096,1064.577112
3200.000000,85.633456,28.378456,25064.831491,10914.323239,4994.687811,6.357500,1023.012531
3300.000000,85.632499,28.378333,24970.991011,10900.627752,4983.847787,5.987384,973.340892
3400.000000,85.631822,28.377656,24904.639500,10825.811464,4973.711487,5.627747,920.204940
3500.000000,85.630881,28.377500,24812.379785,10808.601200,4964.139824,5.355595,870.058202
3600.000000,85.630188,28.376855,24744.447509,10737.299688,4954.962296,4.957970,829.134442
3700.000000,85.629264,28.376667,24653.809087,10716.484533,4946.789918,4.241783,801.759033
3800.000000,85.628554,28.376054,24584.255519,10648.787913,4940.128569,3.369995,789.557672
3900.000000,85.627877,28.375377,24517.904007,10573.971625,4935.012833,2.638626,791.945304
4000.000000,85.627201,28.374701,24451.552496,10499.155337,4930.911511,2.299260,807.322533
4100.000000,85.626524,28.374024,24385.200985,10424.339049,4926.982591,2.330503,834.326213
4200.000000,85.625847,28.373347,24318.849474,10349.522761,4922.772032,2.532621,872.472315
4300.000000,85.624834,28.373333,24219.526297,10348.017867,4918.136314,2.693057,922.067314
4400.000000,85.623932,28.373099,24131.168515,10322.131785,4913.364562,2.698635,983.581508
4500.000000,85.623256,28.372422,24064.817003,10247.315497,4908.709328,2.705931,1056.723169
4600.000000,85.622579,28.371746,23998.465492,10172.499209,4903.912052,2.727790,1139.354012
4700.000000,85.621902,28.371069,23932.113981,10097.682921,4899.180343,2.705998,1226.508466
4800.000000,85.621001,28.370833,23843.814204,10071.667867,4894.459307,2.669271,1310.140376
4900.000000,85.620268,28.370268,23771.921990,10009.171146,4889.856084,2.647507,1380.237318
5000.000000,85.619591,28.369591,23705.570479,9934.354858,4885.211180,2.662608,1427.319676
5100.000000,85.618914,28.368914,23639.218968,9859.538570,4880.555131,2.823420,1445.266998
5200.000000,85.618237,28.368237,23572.867456,9784.722282,4875.347598,3.212556,1433.070847
5300.000000,85.617561,28.367561,23506.515945,9709.905994,4869.329430,3.894945,1394.710882
5400.000000,85.616884,28.366884,23440.164434,9635.089706,4861.730695,4.806205,1337.399770
5500.000000,85.616207,28.366207,23373.812922,9560.273418,4852.513149,5.658124,1269.322698
5600.000000,85.615530,28.365530,23307.461411,9485.457130,4841.915660,6.365314,1197.723947
5700.000000,85.614853,28.364853,23241.109900,9410.640842,4830.202148,6.926060,1127.917167
5800.000000,85.614177,28.364177,23174.758389,9335.824554,4817.620695,7.422661,1063.080362
5900.000000,85.613500,28.363500,23108.406877,9261.008266,4804.146242,7.890220,1004.631444
6000.000000,85.612823,28.362823,23042.055366,9186.191978,4789.903198,8.310680,952.852456
6100.000000,85.612146,28.362146,22975.703855,9111.375689,4774.931322,8.650007,907.436946
6200.000000,85.611469,28.361469,22909.352344,9036.559401,4759.477470,8.874228,867.794163
6300.000000,85.610792,28.360792,22843.000832,8961.743113,4743.704319,9.068764,833.144795
6400.000000,85.610116,28.360116,22776.649321,8886.926825,4727.554481,9.258439,802.442697
6500.000000,85.609439,28.359439,22710.297810,8812.110537,4711.102012,9.318322,774.499187
6600.000000,85.608762,28.358762,22643.946299,8737.294249,4694.737551,9.158132,748.230299
6700.000000,85.608085,28.358085,22577.594787,8662.477961,4678.859045,8.802886,722.957968
6800.000000,85.607408,28.357408,22511.243276,8587.661673,4663.765601,8.359673,698.559867
6900.000000,85.606731,28.356731,22444.891765,8512.845385,4649.469438,7.973136,675.379320
7000.000000,85.606055,28.356055,22378.540254,8438.029097,4635.753054,7.631232,653.958932
7100.000000,85.605378,28.355378,22312.188742,8363.212809,4622.672773,7.200189,634.771185
7200.000000,85.604701,28.354701,22245.837231,8288.396521,4610.486508,6.605107,618.079378
7300.000000,85.604024,28.354024,22179.485720,8213.580233,4599.513916,5.839527,603.947217
7400.000000,85.603347,28.353347,22113.134209,8138.763945,4590.031839,4.908841,592.323638
7500.000000,85.602670,28.352670,22046.782697,8063.947657,4582.336778,3.857204,583.118853
7600.000000,85.601994,28.351994,21980.431186,7989.131369,4576.547280,2.939977,576.244458
7700.000000,85.601317,28.351317,21914.079675,7914.315081,4572.065307,2.342538,571.664219
7800.000000,85.600640,28.350640,21847.728164,7839.498793,4568.365719,1.951516,569.440037
7900.000000,85.599963,28.349963,21781.376652,7764.682505,4565.250597,1.628495,569.726178
