particle_id,s_m,x_local_m,y_local_m,z_m,volume_m3
0,3.750,26359.681,13568.426,5145.089,25000.000000
1,11.250,26359.289,13561.075,5145.088,25000.000000
2,18.750,26358.897,13553.723,5145.086,25000.000000
3,26.250,26358.505,13546.372,5145.085,25000.000000
4,33.750,26358.112,13539.021,5145.083,25000.000000
5,41.250,26357.720,13531.670,5145.082,25000.000000
6,48.750,26357.328,13524.319,5145.080,25000.000000
7,56.250,26356.935,13516.968,5145.079,25000.000000
8,63.750,26356.543,13509.617,5145.077,25000.000000
9,71.250,26356.151,13502.266,5145.076,25000.000000
10,78.750,26355.758,13494.915,5145.074,25000.000000
11,86.250,26355.366,13487.564,5145.073,25000.000000
12,93.750,26354.974,13480.212,5145.071,25000.000000
13,101.250,26353.818,13473.151,5145.070,25000.000000
14,108.750,26348.841,13467.540,5145.068,25000.000000
15,116.250,26343.865,13461.929,5145.067,25000.000000
16,123.750,26338.888,13456.318,5145.065,25000.000000
17,131.250,26333.912,13450.706,5145.064,25000.000000
18,138.750,26328.936,13445.095,5145.062,25000.000000
19,146.250,26323.959,13439.484,5145.061,25000.000000
20,153.750,26318.983,13433.873,5145.059,25000.000000
21,161.250,26314.007,13428.262,5145.058,25000.000000
22,168.750,26309.030,13422.650,5145.056,25000.000000
23,176.250,26304.054,13417.039,5145.055,25000.000000
24,183.750,26299.078,13411.428,5145.053,25000.000000
25,191.250,26294.101,13405.817,5145.052,25000.000000
26,198.750,26289.125,13400.205,5145.050,25000.000000
27,206.250,26287.663,13393.260,5145.049,25000.000000
28,213.750,26286.905,13386.048,5145.047,25000.000000
29,221.250,26286.147,13378.836,5145.046,25000.000000
30,228.750,26285.388,13371.624,5145.044,25000.000000
31,236.250,26284.630,13364.412,5145.043,25000.000000
32,243.750,26283.871,13357.199,5145.041,25000.000000
33,251.250,26283.113,13349.987,5145.040,25000.000000
34,258.750,26282.354,13342.775,5145.038,25000.000000
35,266.250,26281.596,13335.563,5145.037,25000.000000
36,273.750,26280.838,13328.351,5145.035,25000.000000
37,281.250,26280.079,13321.139,5145.034,25000.000000
38,288.750,26279.321,13313.927,5145.032,25000.000000
39,296.250,26278.562,13306.714,5145.031,25000.000000
40,303.750,26278.183,13299.358,5145.029,25000.000000
41,311.250,26278.183,13291.858,5145.028,25000.000000
42,318.750,26278.183,13284.358,5145.026,25000.000000
43,326.250,26278.183,13276.858,5145.025,25000.000000
44,333.750,26278.183,13269.358,5145.023,25000.000000
45,341.250,26278.183,13261.858,5145.022,25000.000000
46,348.750,26278.183,13254.358,5145.020,25000.000000
47,356.250,26278.183,13246.858,5145.019,25000.000000
48,363.750,26278.183,13239.358,5145.017,25000.000000
49,371.250,26278.183,13231.858,5145.016,25000.000000
50,378.750,26278.183,13224.358,5145.014,25000.000000
51,386.250,26278.183,13216.858,5145.013,25000.000000
52,393.750,26278.183,13209.358,5145.011,25000.000000
53,401.250,26278.183,13201.858,5145.010,25000.000000
54,408.750,26278.183,13194.358,5145.008,25000.000000
55,416.250,26278.183,13186.858,5145.007,25000.000000
56,423.750,26278.183,13179.358,5145.005,25000.000000
57,431.250,26278.183,13171.858,5145.004,25000.000000
58,438.750,26278.183,13164.358,5145.002,25000.000000
59,446.250,26278.183,13156.858,5145.001,25000.000000
60,453.750,26278.183,13149.358,5144.999,25000.000000
61,461.250,26278.183,13141.858,5144.998,25000.000000
62,468.750,26278.183,13134.358,5144.996,25000.000000
63,476.250,26278.183,13126.858,5144.995,25000.000000
64,483.750,26278.183,13119.358,5144.993,25000.000000
65,491.250,26278.183,13111.858,5144.992,25000.000000
66,498.750,26278.183,13104.358,5144.990,25000.000000
67,506.250,26278.183,13096.858,5144.989,25000.000000
68,513.750,26278.183,13089.358,5144.987,25000.000000
69,521.250,26278.183,13081.858,5144.986,25000.000000
70,528.750,26278.183,13074.358,5144.984,25000.000000
71,536.250,26278.183,13066.858,5144.983,25000.000000
72,543.750,26278.183,13059.358,5144.981,25000.000000
73,551.250,26278.183,13051.858,5144.980,25000.000000
74,558.750,26278.183,13044.358,5144.978,25000.000000
75,566.250,26278.183,13036.858,5144.977,25000.000000
76,573.750,26278.183,13029.358,5144.975,25000.000000
77,581.250,26278.183,13021.858,5144.974,25000.000000
78,588.750,26278.183,13014.358,5144.972,25000.000000
79,596.250,26278.183,13006.858,5144.971,25000.000000
80,603.750,26278.183,12999.358,5144.969,25000.000000
81,611.250,26278.183,12991.858,5144.968,25000.000000
82,618.750,26278.183,12984.358,5144.966,25000.000000
83,626.250,26278.183,12976.858,5144.965,25000.000000
84,633.750,26278.183,12969.358,5144.963,25000.000000
85,641.250,26278.183,12961.858,5144.962,25000.000000
86,648.750,26278.183,12954.358,5144.960,25000.000000
87,656.250,26278.183,12946.858,5144.959,25000.000000
88,663.750,26278.183,12939.358,5144.957,25000.000000
89,671.250,26278.183,12931.858,5144.956,25000.000000
90,678.750,26278.183,12924.358,5144.954,25000.000000
91,686.250,26278.183,12916.858,5144.953,25000.000000
92,693.750,26278.183,12909.358,5144.951,25000.000000
93,701.250,26277.917,12901.959,5144.950,25000.000000
94,708.750,26276.322,12895.065,5144.948,25000.000000
95,716.250,26274.726,12888.170,5144.947,25000.000000
96,723.750,26273.131,12881.276,5144.945,25000.000000
97,731.250,26271.536,12874.381,5144.944,25000.000000
98,738.750,26269.940,12867.487,5144.942,25000.000000
99,746.250,26268.345,12860.592,5144.941,25000.000000
100,753.750,26266.749,12853.698,5144.939,25000.000000
101,761.250,26265.154,12846.804,5144.938,25000.000000
102,768.750,26263.559,12839.909,5144.936,25000.000000
103,776.250,26261.963,12833.015,5144.935,25000.000000
104,783.750,26260.368,12826.120,5144.933,25000.000000
105,791.250,26258.772,12819.226,5144.932,25000.000000
106,798.750,26257.177,12812.331,5144.930,25000.000000
107,806.250,26253.135,12806.365,5144.929,25000.000000
108,813.750,26248.603,12800.585,5144.927,25000.000000
109,821.250,26244.071,12794.805,5144.926,25000.000000
110,828.750,26239.540,12789.025,5144.924,25000.000000
111,836.250,26235.008,12783.245,5144.923,25000.000000
112,843.750,26230.476,12777.465,5144.921,25000.000000
113,851.250,26225.945,12771.685,5144.920,25000.000000
114,858.750,26221.413,12765.905,5144.918,25000.000000
115,866.250,26216.881,12760.125,5144.917,25000.000000
116,873.750,26212.350,12754.345,5144.915,25000.000000
117,881.250,26207.818,12748.565,5144.914,25000.000000
118,888.750,26203.286,12742.785,5144.912,25000.000000
119,896.250,26198.754,12737.005,5144.911,25000.000000
